business_name,review_id,user_id,stars,review_date,review_text,funny,useful,cool
Tory Burch,oy5Vl_FhI5Jdg0cRRWbRhg,iPhoJlwisUKGGrA0QNmYMw,5,2013-01-18,I love tory burch!! My first paycheck post grad I bought myself a pair of Revas at the tory burch in sf. I went in yesterday and bought my first tory ,4,4,3
Costco,mVaowf4auFjkABthnx2ubA,60i9h-gPKH1f0YC_bZXDhg,1,2012-06-23,"Costco Tire Department leaves much to be desired...
My wife's car needed new tires.  We like shopping in Avondale and headed over to Costco.  The guy",0,2,0
Donna's Bakery Cafe,4d_Zivep6PmofLc-poLHhA,0cOI9_KEHf0QahoOkJ8ynA,5,2013-05-24,"This is actually a review of their Phoenix location which recently opened in COFCO plaza.  I've never been to any other location. 
Their food/cakes/b",0,1,1
Tropical Smoothie Cafe,f4unnX25YjFK1YGo91accw,y1jPEGJAGJkgrAbBIijWLw,5,2013-09-14,I come here almost every morning for my breakfast smoothie. Staff is always friendly and the smoothies and always good. They are much cheaper then oth,0,0,0
Vine Tavern & Eatery,r0gT2240bJq-Wbu1a8YY3Q,Uxnqej_rEAj-jUOXdk1Kxw,2,2009-07-09,This is probably the trashiest bar I've EVER been to and I've been to some pretty bad places. A guy we were there with went outside and got punched sq,0,1,0
Carolina's,YDZs-LMKhLri67PAUQobNw,Uufvv9CBpJmPRXDQTSBKYg,1,2013-07-17,"Let me start by saying this is not a one-off review.  I have been going to this place for years and it was very good. (Not the best, but good). 
This ",0,1,0
How Do You Roll?,qvMIPsPPzabMljXci4qZgQ,lcu7u9kSWMeSNq6j135BfQ,5,2013-02-16,"Everyone on Yelp is right, this place is great. It's fast, fresh, and affordable. I created a roll filled with everything I like, and so I loved it. I",0,0,0
Go-Kat-Go,VMD3GmsjS__P5rbYjt8zjg,6WrOT1dj6sigl_voiwQ7HA,4,2008-04-04,"They have pomade...serious greaser pomade...how cool is that?
I own a purple couch. It is a huge sectional with no arms and a low back...not that com",4,5,4
Macayo's Mexican Kitchen,0uSxMwwi8TKnk5QbwOHKxg,W_QXYA7A0IhMrvbckz7eVg,3,2009-09-25,"The first time I went to a Macayo's, I was with my best friend and we were like 10 years old.  Needless to say, it's been a while since I last ate at ",2,2,2
"Carrie Evans, RN",Ls1TY4eIvtjx9DcQDn0fWg,BxRO7MooJUDkpKLgD32VjQ,5,2011-03-07,"Carrie is very professional, friendly and personable.  I always feel like I'm catching up with a friend.  She does an awesome job and gives honest fee",1,2,1
ASAP California Pizza Kitchen,V5j6pIwMuZSq8Lq5NjO4Aw,4kx_erzJM44BzxOr22HJ0g,1,2011-07-02,"This is about the saddest little kiosk I've ever seen. Stranded in PHX, three hours on the way to Cabo, and four hours back, I had enough time to brow",2,3,2
Barnes & Noble,UqCA3Spzdv2USimSqmedUQ,rTcz7xIwb1QH7kJcLBBugQ,1,2011-12-31,Rude old man manager was a total scrooge this holiday season.  Salespeople are too busy pimping nooks to treat customers w respect.  Luckily the cafe ,0,1,0
Walmart,uteYDbZIIqy8g_i3fnGu8A,pQ6ij6cOBRB3yJGHbVZHUQ,4,2013-03-26,Store is fairly new and much bigger and cleaner than our nearest location on Bethany Home. We drive the extra distance to go to this location. Custome,0,1,0
Fairmont Scottsdale Princess,-EoZWAWWUNKBvt8289_c9Q,KmG-_Vwh4Mk1sg8vEmwQ3g,2,2013-12-19,The complex is beautiful - especially around the holidays!  Lots of fun activities for kids & families.  The pool with the slide is only open from 10-,0,0,0
Liberty Market,5cPfJeieDdORaybHTClJGg,BYuF8mLZ4i4uoh3UR_yTQQ,4,2010-06-02,Always good food... and the staff is really nice. Their minestrone soup is incredible - add some chicken... as is their cobb salad... and their homema,0,0,0
Steele Indian School Park,jEciLYwqjUoHCZLQ_SRasw,2LCrT_BOJvGV4xi_lmoRcA,2,2010-08-07,"When I finally visited this park, it was to scope out the dog park.  It's the only off-leash area in downtown Phoenix.  I was amazed at the size of th",0,0,0
Hyatt Regency Scottsdale Resort and Spa,FSqhhCyKs1JUufDBm2c3rA,OPStKHloEOVxcBtFgkzh2A,3,2011-08-25,Pool is in major need of renovation! Bugs everywhere in pool too. Very filthy.,0,0,0
The Farmhouse Restaurant,hufoM03Um3_AS6l29Zk3Wg,IVb9YMopuGyt5jJ7rjwoqg,4,2010-10-01,"Been wanting to try this place out for some time and finally had the opportunity today.  I didn't expect much of a crowd on a Friday morning, however ",0,0,0
Cartel Coffee Lab,AAU82GMj1h4HN3cz57rQhg,kG8jkVFgOAOq6Ht6RvAjEQ,3,2013-07-14,Meh. After getting raves reviews from our hostess at Brush Bar we headed down to enjoy some coffee before heading home. The store is hipster and fun w,1,1,1
America's Taco Shop,5636FvrFWUMM2aN9xh3ffw,S3bvMOL50vgS_8-TtlGi4w,3,2011-05-01,"Call me when it's Mexico's Taco Shop.  
The food is fair, not great, but definitely not bad.  I've eaten there twice and while I can see some love it",6,5,5
Life Time Fitness,fVFpbrT3Z-EQPj5Nm6Sv4Q,Zwtx7FLZcK5F2P0-Tz8mHg,5,2010-04-29,Yes!  It's twice as pricey as Gold's or LA Fitness... but it's twice as awesome!  You get what you pay for at Lifetime.  As someone who goes to the gy,2,3,2
SideBar,vDbK3wI9Ucg7Sx73bTjKkA,HZeFzs42f0iGaA-sP_hUnA,5,2008-12-13,"How the hell can this place be sitting on top of a Pei Wei and a Starbucks?
It's a hip, urban lounge. Spacious, lots of comfy seating including a wal",12,14,12
Timo Wine Bar,uxlIr36w_cAPM3T1HB1o3g,b8amFHFX0bHs0wPxhc5q9A,5,2011-12-08,I was looking for a unique setting to have a Holiday party for my staff of 17.  Heinrich was gracious and accommodated my request to have the function,0,1,2
Beckett's Table,ItVyHVq5ka8sl8v1DrYS1g,xx2j7XRWLFN7QavS5jcbFw,3,2012-08-17,"I would give 3.5 if possible. 
 The service and general atmosphere of the Beckett's was great. The food was good, but not good enough that I would ca",0,1,0
Smashburger,qNSXE-aGzTboYR9A88qCNw,XyPFa47QauNZz8VjHAlacA,4,2012-03-08,"Delicious food as usual, loved the coffee shake, and the staff here actually seemed even more perky and helpful than what I have become used to at Sma",2,1,1
zpizza,jifeqW4l18WSZctYGlj0Kw,4E_nPWw89FLFHdNsEgMH-g,5,2009-10-02,"I stopped in their last night right before I hit up the Jamie Foxx concert at the Dodge Theater. It's a cute little place. Very, clean and quite quiet",1,1,1
Bajio Mexican Grill,oKARmWWzUYosPkjE3qeERw,dji-3ZSLA33ndPPYT0p7BA,5,2009-09-30,Oh my! How have I NOT reviewed this place yet?! It is amazing. This is in the top 2 of my favorite restaurants in North Phx. (the other one is Bamboo ,2,3,1
The Gilbert House,hNayQNyKeUCgjvGqYIgoYQ,9UK28WYQvS7aXyNfa_hLCQ,5,2012-05-21,I cannot begin to express how elated I was after eating at this establishment. Decided Sunday morning to try a new breakfast place and after a failed ,0,3,1
FEZ,eyP0JmBpuRdp8tRzqeg5_Q,q3Fa0PhTGzRl-05fXHIi4g,3,2010-12-07,I was hoping for a really good experience coming here because the friends I was with kept talking about how good it was but I wasn't super impressed. ,2,2,1
Fate 905,tzFb-j7t0ken-7g47wtRpA,APLIPfq1Rf8QyhHHk2uAyA,4,2008-03-03,"Imagine this: over the course of 3 hours, you've imbibed about 6 Hobgoblins at The Lost Leaf. Your comrad - playing it safe, since driving - watched y",0,1,1
Tom's Thumb Fresh Market,_fB0wQySVXKrVqXeLzyInw,iwUN95LIaEr75TZE_JC6bg,5,2012-07-06,"Whenever the need arises to wash my vehicle....
And, I'm in the mood for delicious slow roasted brisket, ribs, or pulled pork...
And, I need to pick",6,2,4
La Grande Orange,4Kh00aKKidZdXlbiyxrJSg,zfysCL-0uQNCWdGvzZ6QWA,4,2012-10-15,"I happened to go here on the first day it opened, 10/6.
For an airport place, for a first day, and for a duplicate of a place with quite a reputation,",2,3,2
Big Jimmy's $5 Large Pizza,iUc9PmOFeJQ7zN8R-PA_Mg,5cxCKTziUlcLAeKFOhpFjQ,5,2012-02-02,Da bomb,0,1,0
Mary Coyle Ol Fashion Ice Cream,-4hHrlQZZ1HWYsMsn4112A,RQ97041ZHSLPqOgSQCv3sQ,4,2011-04-14,"So next month Mary Coyle's is closing. Another Phoenix landmark is fading away. Like so many other's, Legend City, Harkins movie theater (24th & Camel",1,1,0
Fleming's Prime Steakhouse & Wine Bar,TdIcjMMt5wWlK87PeE-qHA,0bNXP9quoJEgyVZu9ipGgQ,3,2011-01-02,"09/01/10
My first, and (so far) only, visit to Fleming's.  I give it 2.5 stars...
First thing I noticed was that it was very dark inside- a pet peev",2,7,5
The Mission,2L7pN8aRlArkPsRoOMoKCQ,T0TmiPTEeq_VVoEMK1vmmQ,3,2011-03-14,"If you're looking for a restaurant hotspot in Old Town, look no further.  The Mission offers up gourmet latin-inspired creations in a dimly-lit, total",0,0,0
East Valley Family Medical,T5l_pCU3nQ85Hp_7Urk3ag,n8oSlEeaWHLE-PZ3a4GHtw,5,2013-11-20,"I absolutely love Dr. Finley! She sits down with you and answers ALL of your questions, always! Not like your typical doctor who comes in, does whatev",0,0,0
Chop Chandler,tmq2yD0eTnCmhVmqoGSpMQ,y0pEOcgBgB7QPYC3UC3Vww,3,2013-08-19,Went to Chops the local steakhouse that has opened recently.  The decor is tasteful and a blend between a traditional steakhouse with the wooden accen,0,1,0
JW Marriott Phoenix Desert Ridge Resort & Spa,hNinKH--dRwBnGeOoBlthw,zrO1ENicvYdPsQk8ykJOkg,5,2010-06-15,"HOTEL:
The resort grounds are gorgeous.  Unfortunately I did not have a great opportunity to roam the area since I was there for a work conference.  T",0,2,0
Persian Room,4tP0YEFyNe3XZD0ttMQEoA,7Uv7Stzuj-KjvqyIlcby8A,5,2013-01-11,"This place is simply amazing,
We eat there at least once a week,For many years.
Definitely a place to go for people who appreciate good food and servi",0,1,1
The Strand,LitAcIZg9PyCs1cC9z_cgQ,cUjy7cqOxoqq5l7XrNx4BA,3,2012-01-03,"Great concept...notwithstanding the quirkiness in delivery.
Food was outstanding...but I have a hard time forgetting that it took nearly one hour to ",0,0,0
T.G.I. Friday's,yrBbllOEbNy6Ioth_kJC7w,j1UagK_zBh0O5ITmcQFsvQ,3,2012-07-01,This location has a very tiny patio & the patio has a beatle (err.. cockroach) problem.  Althought the waitress was very forthcoming with this informa,0,0,0
Phoenix City of,QoAhqH0Up-iXD03IitCezw,5iakVo0yGFDKwUtql58PqA,5,2013-01-02,"Phoenix is a one of a kind city, that is beautiful, fashionable, BIG, and luxurious. :-)",1,0,0
Olive Garden Italian Restaurant ,QMB9xvobhxnrg6886_dl9w,i2TRnWtvxxwJuynRKrw35Q,3,2010-09-26,"I have to tell you, this is a 2.5 star review masquerading as a 3-star review.  And I only went with three because our server happened to write someth",0,1,1
Carolina's Mexican Food,ksy7O_dhygNeVAqbPkOqpg,WgN14Dbyb4nI-0smYCiDAQ,5,2013-11-08,"Great Mexican food with a friendly staff.  Looks small from the outside, but has plenty of room for dine in inside.  Agree that the homemade tortillas",0,0,0
Crudo,e5lRcTt_n_DONKgLZl0yyA,PJY1J0xMPzMVvzC4R5b0HA,4,2013-09-05,"Awesome unique food creations. Italian inspired smaller plates. Polenta, short ribs, mushrooms etc. Good wine program. Friendly owners and staff. Nice",0,0,0
Mr Scribs Pizza,HVVKyFDg3HJ9hLUnhHvC7w,MWL9sMEUH_Ob4yQeKamkhQ,5,2013-01-12,I'm from Michigan and remember Mr. Scribs being my favorite pizza there. So when I heard it was now in Goodyear I was elated!  There simply is no bett,0,0,0
The Gelato Spot,LgwEJiaSAJmsZoJ5e83ZWg,y5_vrqIylhXMrejM_-x_vA,5,2011-05-02,"Ahhh gelato.....what would the world be like without it? I don't want to know. It's amazing stuff, and this establishment has a great selection of fla",1,2,2
Rita's Italian Water Ice & Custard,6OgyIZK4IM11YMcpNNTq3g,oXBahXJCXUEATm5IVexw8A,5,2011-10-30,"Fun place, tasty custard and excellent customer service.  Both times I have been, Keith has been behind the counter.  He is very informative and was k",0,1,0
True Food Kitchen,MlMFSN7OXz2GLkhkQPAf6Q,8i2zGqMJ0yJDgwxXlhbvew,5,2013-03-22,Wish they had one of these in Dallas! We love the food so much and dined there at least 3 times while visiting. The shiritaki noodles are amazeballs! ,0,0,0
Rudy's Country Store & Bar-B-Q,slmRfVDh5UQbQv8qegY2sw,-ku2SB6n6TOhp80Q4A1LRw,5,2012-04-09,"Same great food, new location.  I like the leaner brisket, but have tried everything at different locations and EVERYTHING is good.  Forget the sissy ",0,1,0
Over Easy,ckrKEy3UR_l7KSO-XIorZg,rtabnaDYb7O4vWScy4nDCQ,3,2013-08-06,"No WiFi!! I think that's done on purpose so people don't hang out there. I'm not sure why this place got DD&D to go there, the food was okay.",1,1,0
Duke At Rancho El Dorado,urEV9j-Pc9BPGMHN-NSxHg,1YPUKk_p2YPjbt9_3dYRAw,2,2013-08-11,Food was terrible - service was good - prices have been raised twice in the past 6 months - now over priced -  no happy hour  but love the golf course,0,0,0
Forefathers Gourmet Cheesesteaks & Fries,ZOO1o0vEeQyAiMbkybPLkw,C-kkL06MZ5Gt9B9msf-DmQ,2,2011-11-29,Not my favorite. The cheese steak was way too cheesy. The steak was completely lost in the cheese wiz. Good amount of steak but again not my favorite ,0,2,0
Sprint,rZo-FMEzSCfw2zCJp11gwQ,B9iuHtXnXVnvjud5Is6F2g,1,2013-03-16,BAD - BAD - BAD - SHAME ON SPRINT... I am a Verizon & I will stay where I am at. But my husband went SPRINT LAst January 2012 - I coaxed him into .. t,0,0,0
Armitage Wine Lounge & Cafe,aPhzPcnXXZaq4fwuR1OLYg,fkUuqu8br1N6d0HAZtzZVg,5,2013-12-15,The whole experience was perfect!!! Was here last Sunday morning for brunch and was so thrilled with the choice in location for our get together. The ,0,1,1
Maizie's Cafe & Bistro,Wqy0OJub_5P3p5gSSIBw8w,sALB8-F04S9VcZMF_GkGUA,5,2011-08-29,"I adore Maizie's. Good burgers.. and drinks. Sit at the bar and you will be well taken care of. The last time I was there, I had a watermelon vodka sp",0,2,0
Vito's Pizza & Italian Ristorante,8EvkwSXvj3dlN-I8Y94QGQ,kJyR4gT1pfCcNjEY9-YMoQ,1,2009-08-19,We decided to try vitos the other nite based on reviews and word of mouth so i went to there web site to check out the menu i noticed they delivered a,0,0,0
Old Town Farmers Market,GhxMafBPY5vZ_0ftYAnilQ,2KvxS3HmcOOXj2pCm8o6TQ,4,2010-01-09,Went to the Old Town Farmers Market in Snobsdale this morning and had a great time! Not only was there a Yelp stand there giving away free reusable to,3,3,3
Habit Beauty Salon,7FRfMBBtvyldqML8zqnRCQ,XFLeKAsj3UKv5VPoIQjdIw,5,2013-10-16,I have followed Hayley for 8 years now. I drive 45 minutes out of my way just to have her do my hair once every 6 weeks. She is extremely detailed and,1,3,4
Maricopa County Department of Public Health,0o-QoLMB5N6hFAYeVDpZIg,RfyvDOAX_N2gA4WAxPSCsA,1,2013-05-24,"My review is not kind, the doctors are fine however the cost issue for me has been a nightmare. I only have a 1,000 dollar a month social security che",0,0,0
D'lish,4dyAnJ4EW-4DOUmkFilOSA,rotKO3R8h23YbiLFaZ-BLg,4,2012-12-22,"Great breakfast and lunch food in Scottsdale.  Very cool that you can do drive-thru and come in for a quick, delicious meal.",0,0,0
Pita Jungle,GoP5_ANxBzvCdug2Tf0FTA,vYIZMcpFFbMa157wzWbBcA,5,2012-01-24,"Been back a few times since, and have had nothing but great experiences. Our last visit was awesome because it was later on Saturday night and wasn't ",0,0,0
Dick's Hideaway,V4SW0QZVI6i12-afTpvKDQ,omGocLsyIYeiHPviDOAa3w,5,2011-11-29,The best Breakfast I have had in at least 10 years. When we walked in the whole place had this wonderful mesquite campfire smell. The carne asada I or,2,2,4
Pho Tan Thanh,0XK20K7CpDYOU9j0RMZHCg,uDGZ2mbv6Z4sDjs6YiY6bQ,5,2013-12-08,"I've just found out about this place a week ago, and so far it's pretty awesome Vietnamese food. I've actually been eating here for the past 4 days. E",0,1,1
Hegel Yoga,pqONaS7Sv4EGoGimJbR4og,qdIYMxnKlZfpA2keScg3lg,4,2012-12-06,"I think I've found a gem in Hegel Yoga. 
Friendly staff, good classes where some are convenient for my very long working hours, and the owner Tish He",0,1,1
Island Loco,XPpUTl84Ic0lLRX1PU6zCg,Pv7DGHzZ-uqIUdOsqPpsVg,4,2013-01-04,I'm a sucker for a good plate lunch so it doesn't take much for me to check out a place that serves Hawaiian food. When I found out this food truck wa,0,3,1
Bertha's Café,yzMY12H-qW2dWM1tF4PaLA,zuD5HuD8wU-leBDaCZYSew,5,2012-03-29,My favorite sandwich shop period.,0,1,0
Panda Express,7QkQq6fIn17CAGonXy8NiQ,JffajLV-Dnn-eGYgdXDxFg,3,2012-02-10,"OK, I like eating here.  Sometimes, I need a Chinese food fix, and this place is close to my apartment, so I stop in to get Chinese.  Panda Express is",4,4,2
Little Chicago Pizza,YEZh7HwTLeu5LE5qCnLmlQ,bEd0_FyH-J1EtRpKefHSUg,5,2013-05-30,"Four words: Tomato, Garlic, mushroom pizza. Two more: Meat Lasagna.  Been dining and ordering delivery from here since they opened. Great delivery tim",0,1,0
Teatro Pizzeria and Wine Bar,octIjunoXCbHSsWOB5uSSw,WxAwWjI8htwyVFDBmqCsuQ,5,2013-07-31,I came here for the first time with a friend. We were really pleased by the great service from our server and the rest of the staff. The owner was ver,0,0,0
FEZ,EOTG9GS4i7_ogjsoDqr8VA,JL_cervg7k-NB199arXIdQ,4,2009-10-10,"The decor, the people watching, and the sweet potato fries bring me back to Fez time and again.  I want to hire Fez' interior decorator, and their MUS",0,1,1
Tuck Shop,FqNs0EbV3PtPKwCLzk1nBg,81oMXHvg9mmD1uLWLiR8kg,4,2010-09-23,"How did we not know about his place until now. Thank you Cy for recommending this! 
This place is tuck in roundabout in some neighborhood in Phoenix.",3,2,0
Outback Steakhouse,C4OuSUDUVDlQskw9StLt1Q,P_LzcrlVXFdgBq_24UnlUw,4,2011-06-03,Best Outback I've ever been to.,0,1,0
Karve Studio North Scottsdale,zLeLajnCeowE62VhBC25cg,pq4HdRAn2MFArQCFYXkYkA,5,2013-08-02,"This is a wonderful barre studio.  I got hooked on barre at the Village, but (at least when I was a member) there were only two classes a week!  Karve",1,2,1
Loving Hut,jmn4tM7abGWlG_r7TiTdkg,qC6Z9IJdnMHO-Qa4zs6K1A,1,2013-09-07,Freaking out a little. Just got finished eating there. Hairs in the food and I saw a cockroach crawl across the kitchen floor. At least if I get sick ,1,0,0
Zinburger,F8IMTaOSC7T-tNvuJUm8YQ,W-ef8QaX8OLJVCFLD_Q-8g,3,2012-05-12,Ok. I tried - Several times. But I just don't get how this place is getting good reviews for their burgers. I understand people raving over the shakes,0,1,0
Cibo,dWqaMRR1zVvSrjesCd46Tg,wyOh_ZfTIZGczMiYqjIRUQ,4,2011-04-13,"Okay so Cibo's is really good, let's get that out of the way right up front.  Their salads with pine nut goodness, their sandwiches with the bread tha",2,1,1
Spinato's Pizza,gPcOoz_mz4bncrchxGkzzQ,rZ55D8zQjRYOQ7GrWmro2A,5,2010-12-04,Best pizza I found so far in tempe. A little pricey but you get your money worth. I like the mamma's spinach CALZONE. The mamma's spinach pizza wasnt ,0,0,0
Eastwind Restaurant,qdsG195et3CZJoTrks5v9w,jvXZJUxa32F_m_WlOdNK9Q,4,2011-08-30,Eastwind never disappoints. The happy hour prices for appies are ridiculously low! The tatsuta chicken is the best chicken nuggets I've ever had. Thei,0,1,0
True Food Kitchen,jI9AE_YnlDoJWe8Fy3fpKg,3ay0VC64u7Tt9sYkjOb46w,4,2012-01-04,Great dinner!  I have several food allergies but was easily able to accommodate here.  The salmon and quinoa was delicious and the flourless chocolate,0,0,0
Chakra 4 Vegetarian Restaurant,mMP5ep1ySLXfu9foAWTuHw,VWmQB-C-HlpXiV_FMTqX0g,4,2013-09-15,"Really good food!  This place is pricey, but the food is great and unique.  We tried a variety of dishes and everything was excellent.  Service was go",0,0,0
Times Square Pizzeria,Ygi-8SV51flYl_fEaXybJg,XqMkm-DD9VsdcKx2YVGhSA,2,2010-06-25,"I'm not a big fan of pasta, but I can't say this would be a place I would pick it I were.  Food is alright, I wouldn't be running and knocking anybody",2,3,1
Kokomo Frozen Yogurt,7KTkE5ddrjG3FaB4k2kYeQ,iF89rSyv7OHdtuJf9G1Xkw,5,2011-09-16,"Great little frozen yogurt place! The place was super clean, and the staff very friendly.
I got the raspberry-pomegranate which I highly recommend if",0,0,0
Sephora,XPbEYHIgn8SQaNbEjCvOyQ,fL9qw4HaSEXyNz_dkmvW-Q,2,2011-09-22,Ok only got a two star cuz I love sephora but I had to hurry and write a review that's how horrible it was at this location ok so they absolutely bug ,0,2,0
Francisco's Brick Pizza & Pitas,AryvVFeYU52ja5lDRTzWjg,vlQAvfsJ03iY5UYVvtRMnQ,5,2013-07-29,Very reasonable priced service was nice and friendly family oriented.  WiFi is free go on in and set up you can enjoy a meal and get work done at the ,0,0,0
iPic Theaters,bthmhmLoyKBh1jmOJOoWzA,RqsbRb8-LfrBLi25BDFvYg,5,2013-07-11,"Premium price but worth the extra cost if you have the cash to burn. Fantastic place for date nights, will definitely impress.",0,0,0
noca,KZqtdEJcidQu_YtOrAbQsA,U7oMbMxoF0T-RlU4PhZGAA,5,2010-02-11,"NOCA stands for North Of CamelbAck, i love this place, went with a few friends.  The foods are such a delight, Chris the Chef actually trained years i",0,0,0
Nordstrom,EGzm1KKiBBezdsw7uP829Q,kffxYQVQsEpF1DVlQlcGCg,5,2012-12-29,"This is a very nice store. I have to say a bit more helpful than the one in Scottsdale.
This location knows what Nordstrom is known for. Great Custome",3,4,4
Clarion Inn Mesa Phoenix,76WbQRi0F6NP-eBrnaBw-g,eCHl0WGwkx6ENkHsiMYosw,3,2013-05-25,"Hubby and I spent three nights at this location this past week. Our room with a king bed, was spacious and nicely furnished, the bathroom was a two-pa",1,2,1
The Rustic Hutch,5eUfdbkaABkyhlRlVSvvOA,C_8qmFcil6E-ILq0M0WgiQ,5,2013-02-04,"Wonderful country store. Christmas time was nice with unique ornaments and decorations. I purchased a table here not too long ago, good quality and i ",0,0,0
Athenian Express,-mFB4Y6hDP3zhsApuI4U_A,cRyNICH0mhjxagvSyVr60Q,2,2012-06-08,"I wouldn't exactly call this the best gyro I've every had, nor would it be a close second - or third.
The gyro was made with pre cooked pieces of (be",5,5,4
Chakra 4 Vegetarian Restaurant,xDK18sHwbNmZ9m6oY9Z7Yw,SJoMGpnY0DVtMlpjFK78-Q,4,2012-02-26,"Love the food... Love it. When you can walk-in to a restaurant and feel cleaner walking out, they've done a good job. I had the carrot-coconut soup, g",2,3,1
Sam's Cafe,vG8e2d_hxqpu2fW68kTESw,g6rlp5No6GjEDXkrjvg1kQ,4,2009-09-21,"Okay, so i had a friend in from CO and she wanted Southwestern cuisine so I suggested Sam's even though I hadn't been there in 10 years.  First they s",1,1,1
Elements,acpcBoVMQnGKbqUJIl4UTw,vGxEuRrX_UmW5MhOAEpCvQ,4,2008-09-16,"--Only vouching for the breakfast!--
I like to take friends in town here for brunch because most of my friends visit from Chicago and its nice to tak",0,1,0
Jester'Z Improv Comedy,11kz5BM526DyV_bVIUf-_Q,yy9fTfze8azIJsvWKvHefQ,4,2010-12-02,"We were in Scottsdale for Thanksgiving and I didn't want to sit around the hotel all evening.  Luckily, Jesterz has a special Thanksgiving Show.  The ",3,3,3
Viet Kitchen,WKVEk9RGGfEhOc_tp3a7TA,LP8JFPcEtA0ti8g_BRBX4w,4,2010-11-17,Viet Kitchen opened a second location at 114 W. Adams St. in Downtown Phoenix (tucked between Downtown dining stallwarts The Hero Factory and Z Pizza),0,0,0
America's Taco Shop,uHWlUC4gKppgiRaXnNGi7w,r1jeWJCyZ9xLr-ECuMnQPw,3,2011-04-13,They are good but pricey and sometimes when you bite into what you're thinking is a delicious taco you'll find some kind of strange fatty meat or conn,0,2,0
Corbin Bar & Grill,7BLvAMIQGlvPsUTd8IFYyQ,vUBWg3dXVCDWvbGwWLrpbw,4,2013-03-02,"What a quaint little place!
The drive through single standing building makes this neighborhood joint look kind of out of place. Put it has a great pa",2,0,0
unPhogettable,Nrmnkh1NdqEFJEQCbSyh3w,hq0WUfau1Mh3GyHn8oVdNQ,5,2011-01-30,"unPhogettable is PHOnominal! Ok, bad joke aside, this is one of my new favorite Vietnamese restaurants. The food is extremely fresh and after talking ",3,11,7
Original Breakfast House,FcgL2AxROUTcs7VKkx95ZA,fRZXobLihqxFncLjlP0LqA,5,2013-10-05,"Had a wonderful time, great food, got to see friends there this morning and very decent prices :)",0,0,0
The Barber Shop,mAdl0FBQE2tcug8wHJ0tkg,fczXIvJAWwkEZUHGtHADrA,5,2012-02-19,"another visit, another great haircut at a great price!",0,0,0
Pizzeria Bianco,C3qcWPJWA9RBhD56VRm5FQ,p9GGjP59wRjC6m-RTMG2Hg,5,2012-03-09,I'm in Phoenix and staying with a friend for a conference (TPE/NASPA). Never having been to Phoenix before I asked my friend for a few suggestions aro,1,2,0
Chili's Grill & Bar,d8xpHs5vCKRecFhtdHGkcA,WLGW2NGgLNLMNId_FP7JBQ,4,2013-09-19,Great service from the bar staff!  Happy hour at Chili's in Goodyear is fun even before the drinks are consumed.  Toby and Rebecca are awesome and the,0,0,0
Nogales Hot Dogs,fLz8yhCQ3o0JsjR7BS10Rg,rGaZmAwROLkDFo7lR9-Dzg,5,2012-11-22,So good.,0,0,0
Los Taquitos,KUzkpoOB-xd-MXq4qzXriQ,WK2Jh-uBmeqH7oI9IxfSHA,5,2009-11-19,"Great ""quick service"" Mexican food.  Nothing too fancy, the food here is great.  Line can be long at times, so I always call the order in about 10 min",0,2,0
David's Hamburgers & Mexican Food,AaPWH1L5lGYL3jhvbODnHg,IRoWn-q3RTOoFVRWsUxGig,4,2011-03-19,"Cheap Mexican and American food, open late. What's not to love? Lol. Hard to find a cheap, basic restaurant in old town. Old diner feel. Great for a d",1,1,0
"Kozinn C Stuart, MD",O-5JiCt7ks8KXXMb_7yC3w,TXfGb4_QKGFQqAVz9R8Fxw,5,2013-10-02,I am appalled at the other reviews of Dr. Kozinn.  My experience with him was nothing but positive.  It seems like people just come here to complain. ,0,0,0
Borders,22Vj1vZrvFHsl7XTMb7nAw,7A06E6wvxuejS0C-4DQ5hA,1,2007-09-24,A bookstore in a mall... genius!  WRONG not when you work there and your General Manager is a selfish idiot.   I have not been back since I left this ,4,2,4
Black Bear Diner,kw-cDKJhf4S0nBdT7UTNeQ,4pz4O792JBw4h0K-0geZKw,2,2011-06-11,The old fashioned burger basket combo was a joke.  The patty was thinner than the tomato.  A piece of bacon would be thicker!  Never even tasted the m,0,1,0
Cartel Coffee Lab,ehi8i0n-Qky94lZr8CKfjQ,eshIqohS-9FMLdKOhTr2Ng,5,2012-03-20,"- I was there March 16th.
 
     This coffee shop is AMAZING, i love the vibe, the artwork, their freshness, and of course their cookies!!
     I have",7,9,7
Fleming's Prime Steakhouse & Wine Bar,dlJ0-EdEhzItL6TVn8JOww,YGVloRuuQvTokNfM-ca2zQ,5,2013-08-23,We were *that* family that brought a cranky toddler and a picky 9 year old to a fine steak house and Fleming's survived with style and grace and an ex,0,1,1
Javino's,sMUxi5YJjKPIu-6nHvV4_w,vrM_uBgwfDQ6bQxGVHdUGQ,4,2008-11-18,"I loved Javino's! 
On a scale of 5 stars I had to delegate 4 stars to the wonderful wine bar! The atmosphere was amazing and quaint! The beverages wer",1,1,1
Hotel Valley Ho,8SCtRkanhrJ2O9yx-xk8vA,C8ZTiwa7qWoPSMIivTeSfw,5,2009-10-05,"Like the 80s group ABC sang ""It's so hip, so hip it hurts""... But hurt in a good way (you know, like nice, naughty spanking) and not bad hurts like th",20,21,21
